"Potential, V ( 5mV/s)"	"Current, A ( 5 mV/s)"	"Potential, V ( 10mV/s)"	"Current, A ( 10 mV/s)"	"Potential, V ( 25mV/s)"	"Current, A ( 25 mV/s)"	"Potential, V ( 50mV/s)"	"Current, A ( 50 mV/s)"	"Potential, V ( 100mV/s)"	"Current, A ( 100 mV/s)"	"Potential, V ( 200 mV/s)"	"Current, A ( 200 mV/s)"	"Potential, V ( 400 mV/s)"	"Current, A ( 400 mV/s)"
-0.207	-4.35E-06	-0.207	-5.87E-06	-0.207	-9.06E-06	-0.207	-1.26E-05	-0.207	-1.76E-05	-0.207	-2.47E-05	-0.207	-3.46E-05
-0.208	-4.36E-06	-0.208	-5.88E-06	-0.208	-9.07E-06	-0.208	-1.26E-05	-0.208	-1.77E-05	-0.208	-2.48E-05	-0.208	-3.47E-05
-0.209	-4.36E-06	-0.209	-5.89E-06	-0.209	-9.08E-06	-0.209	-1.26E-05	-0.209	-1.77E-05	-0.209	-2.48E-05	-0.209	-3.48E-05
-0.21	-4.37E-06	-0.21	-5.89E-06	-0.21	-9.09E-06	-0.21	-1.26E-05	-0.21	-1.77E-05	-0.21	-2.49E-05	-0.21	-3.49E-05
-0.211	-4.38E-06	-0.211	-5.90E-06	-0.211	-9.09E-06	-0.211	-1.27E-05	-0.211	-1.78E-05	-0.211	-2.49E-05	-0.211	-3.50E-05
-0.212	-4.38E-06	-0.212	-5.90E-06	-0.212	-9.10E-06	-0.212	-1.27E-05	-0.212	-1.78E-05	-0.212	-2.49E-05	-0.212	-3.50E-05
-0.213	-4.38E-06	-0.213	-5.90E-06	-0.213	-9.09E-06	-0.213	-1.27E-05	-0.213	-1.78E-05	-0.213	-2.50E-05	-0.213	-3.51E-05
-0.214	-4.38E-06	-0.214	-5.90E-06	-0.214	-9.09E-06	-0.214	-1.27E-05	-0.214	-1.78E-05	-0.214	-2.50E-05	-0.214	-3.52E-05
-0.215	-4.38E-06	-0.215	-5.90E-06	-0.215	-9.09E-06	-0.215	-1.27E-05	-0.215	-1.78E-05	-0.215	-2.50E-05	-0.215	-3.52E-05
-0.216	-4.38E-06	-0.216	-5.89E-06	-0.216	-9.08E-06	-0.216	-1.27E-05	-0.216	-1.78E-05	-0.216	-2.50E-05	-0.216	-3.52E-05
-0.217	-4.38E-06	-0.217	-5.89E-06	-0.217	-9.07E-06	-0.217	-1.26E-05	-0.217	-1.78E-05	-0.217	-2.50E-05	-0.217	-3.52E-05
-0.218	-4.38E-06	-0.218	-5.88E-06	-0.218	-9.06E-06	-0.218	-1.26E-05	-0.218	-1.78E-05	-0.218	-2.50E-05	-0.218	-3.52E-05
-0.219	-4.38E-06	-0.219	-5.87E-06	-0.219	-9.04E-06	-0.219	-1.26E-05	-0.219	-1.77E-05	-0.219	-2.49E-05	-0.219	-3.52E-05
-0.22	-4.37E-06	-0.22	-5.86E-06	-0.22	-9.03E-06	-0.22	-1.26E-05	-0.22	-1.77E-05	-0.22	-2.49E-05	-0.22	-3.52E-05
-0.221	-4.37E-06	-0.221	-5.85E-06	-0.221	-9.00E-06	-0.221	-1.26E-05	-0.221	-1.77E-05	-0.221	-2.49E-05	-0.221	-3.52E-05
-0.222	-4.36E-06	-0.222	-5.84E-06	-0.222	-8.99E-06	-0.222	-1.25E-05	-0.222	-1.76E-05	-0.222	-2.48E-05	-0.222	-3.52E-05
-0.223	-4.36E-06	-0.223	-5.82E-06	-0.223	-8.96E-06	-0.223	-1.25E-05	-0.223	-1.76E-05	-0.223	-2.48E-05	-0.223	-3.51E-05
-0.224	-4.35E-06	-0.224	-5.81E-06	-0.224	-8.94E-06	-0.224	-1.25E-05	-0.224	-1.76E-05	-0.224	-2.47E-05	-0.224	-3.51E-05
-0.225	-4.34E-06	-0.225	-5.79E-06	-0.225	-8.91E-06	-0.225	-1.24E-05	-0.225	-1.75E-05	-0.225	-2.47E-05	-0.225	-3.50E-05
-0.226	-4.33E-06	-0.226	-5.78E-06	-0.226	-8.88E-06	-0.226	-1.24E-05	-0.226	-1.75E-05	-0.226	-2.46E-05	-0.226	-3.49E-05
-0.227	-4.32E-06	-0.227	-5.76E-06	-0.227	-8.86E-06	-0.227	-1.24E-05	-0.227	-1.74E-05	-0.227	-2.45E-05	-0.227	-3.49E-05
-0.228	-4.31E-06	-0.228	-5.74E-06	-0.228	-8.83E-06	-0.228	-1.23E-05	-0.228	-1.74E-05	-0.228	-2.45E-05	-0.228	-3.48E-05
-0.229	-4.30E-06	-0.229	-5.72E-06	-0.229	-8.79E-06	-0.229	-1.23E-05	-0.229	-1.73E-05	-0.229	-2.44E-05	-0.229	-3.47E-05
-0.23	-4.29E-06	-0.23	-5.70E-06	-0.23	-8.76E-06	-0.23	-1.22E-05	-0.23	-1.72E-05	-0.23	-2.43E-05	-0.23	-3.46E-05
-0.231	-4.28E-06	-0.231	-5.68E-06	-0.231	-8.73E-06	-0.231	-1.22E-05	-0.231	-1.72E-05	-0.231	-2.42E-05	-0.231	-3.45E-05
-0.232	-4.27E-06	-0.232	-5.66E-06	-0.232	-8.69E-06	-0.232	-1.21E-05	-0.232	-1.71E-05	-0.232	-2.41E-05	-0.232	-3.44E-05
-0.233	-4.25E-06	-0.233	-5.64E-06	-0.233	-8.66E-06	-0.233	-1.21E-05	-0.233	-1.70E-05	-0.233	-2.40E-05	-0.233	-3.43E-05
-0.234	-4.24E-06	-0.234	-5.62E-06	-0.234	-8.62E-06	-0.234	-1.20E-05	-0.234	-1.70E-05	-0.234	-2.40E-05	-0.234	-3.41E-05
-0.235	-4.23E-06	-0.235	-5.59E-06	-0.235	-8.58E-06	-0.235	-1.20E-05	-0.235	-1.69E-05	-0.235	-2.38E-05	-0.235	-3.40E-05
-0.236	-4.22E-06	-0.236	-5.57E-06	-0.236	-8.54E-06	-0.236	-1.19E-05	-0.236	-1.68E-05	-0.236	-2.37E-05	-0.236	-3.39E-05
-0.237	-4.20E-06	-0.237	-5.55E-06	-0.237	-8.50E-06	-0.237	-1.19E-05	-0.237	-1.68E-05	-0.237	-2.36E-05	-0.237	-3.37E-05
-0.238	-4.19E-06	-0.238	-5.52E-06	-0.238	-8.46E-06	-0.238	-1.18E-05	-0.238	-1.67E-05	-0.238	-2.35E-05	-0.238	-3.36E-05
-0.239	-4.17E-06	-0.239	-5.50E-06	-0.239	-8.42E-06	-0.239	-1.18E-05	-0.239	-1.66E-05	-0.239	-2.34E-05	-0.239	-3.34E-05
-0.24	-4.16E-06	-0.24	-5.47E-06	-0.24	-8.38E-06	-0.24	-1.17E-05	-0.24	-1.65E-05	-0.24	-2.33E-05	-0.24	-3.33E-05
-0.241	-4.15E-06	-0.241	-5.45E-06	-0.241	-8.34E-06	-0.241	-1.17E-05	-0.241	-1.64E-05	-0.241	-2.32E-05	-0.241	-3.32E-05
-0.242	-4.13E-06	-0.242	-5.42E-06	-0.242	-8.30E-06	-0.242	-1.16E-05	-0.242	-1.64E-05	-0.242	-2.31E-05	-0.242	-3.30E-05
-0.243	-4.12E-06	-0.243	-5.40E-06	-0.243	-8.26E-06	-0.243	-1.15E-05	-0.243	-1.63E-05	-0.243	-2.30E-05	-0.243	-3.28E-05
-0.244	-4.10E-06	-0.244	-5.37E-06	-0.244	-8.22E-06	-0.244	-1.15E-05	-0.244	-1.62E-05	-0.244	-2.29E-05	-0.244	-3.27E-05
-0.245	-4.09E-06	-0.245	-5.35E-06	-0.245	-8.17E-06	-0.245	-1.14E-05	-0.245	-1.61E-05	-0.245	-2.27E-05	-0.245	-3.25E-05
-0.246	-4.07E-06	-0.246	-5.32E-06	-0.246	-8.13E-06	-0.246	-1.14E-05	-0.246	-1.60E-05	-0.246	-2.26E-05	-0.246	-3.24E-05
-0.247	-4.05E-06	-0.247	-5.29E-06	-0.247	-8.09E-06	-0.247	-1.13E-05	-0.247	-1.59E-05	-0.247	-2.25E-05	-0.247	-3.22E-05
-0.248	-4.04E-06	-0.248	-5.27E-06	-0.248	-8.04E-06	-0.248	-1.12E-05	-0.248	-1.59E-05	-0.248	-2.24E-05	-0.248	-3.20E-05
-0.249	-4.02E-06	-0.249	-5.24E-06	-0.249	-8.00E-06	-0.249	-1.12E-05	-0.249	-1.58E-05	-0.249	-2.23E-05	-0.249	-3.19E-05
-0.25	-4.01E-06	-0.25	-5.22E-06	-0.25	-7.96E-06	-0.25	-1.11E-05	-0.25	-1.57E-05	-0.25	-2.21E-05	-0.25	-3.17E-05
-0.251	-3.99E-06	-0.251	-5.19E-06	-0.251	-7.91E-06	-0.251	-1.11E-05	-0.251	-1.56E-05	-0.251	-2.20E-05	-0.251	-3.15E-05
-0.252	-3.98E-06	-0.252	-5.17E-06	-0.252	-7.87E-06	-0.252	-1.10E-05	-0.252	-1.55E-05	-0.252	-2.19E-05	-0.252	-3.14E-05
-0.253	-3.96E-06	-0.253	-5.14E-06	-0.253	-7.83E-06	-0.253	-1.09E-05	-0.253	-1.54E-05	-0.253	-2.18E-05	-0.253	-3.12E-05
-0.254	-3.95E-06	-0.254	-5.11E-06	-0.254	-7.79E-06	-0.254	-1.09E-05	-0.254	-1.53E-05	-0.254	-2.16E-05	-0.254	-3.10E-05
-0.255	-3.93E-06	-0.255	-5.09E-06	-0.255	-7.74E-06	-0.255	-1.08E-05	-0.255	-1.52E-05	-0.255	-2.15E-05	-0.255	-3.09E-05
-0.256	-3.92E-06	-0.256	-5.06E-06	-0.256	-7.70E-06	-0.256	-1.07E-05	-0.256	-1.52E-05	-0.256	-2.14E-05	-0.256	-3.07E-05
-0.257	-3.90E-06	-0.257	-5.04E-06	-0.257	-7.66E-06	-0.257	-1.07E-05	-0.257	-1.51E-05	-0.257	-2.13E-05	-0.257	-3.05E-05
-0.258	-3.89E-06	-0.258	-5.01E-06	-0.258	-7.62E-06	-0.258	-1.06E-05	-0.258	-1.50E-05	-0.258	-2.12E-05	-0.258	-3.03E-05
-0.259	-3.88E-06	-0.259	-4.99E-06	-0.259	-7.57E-06	-0.259	-1.06E-05	-0.259	-1.49E-05	-0.259	-2.10E-05	-0.259	-3.02E-05
-0.26	-3.86E-06	-0.26	-4.96E-06	-0.26	-7.53E-06	-0.26	-1.05E-05	-0.26	-1.48E-05	-0.26	-2.09E-05	-0.26	-3.00E-05
-0.261	-3.85E-06	-0.261	-4.93E-06	-0.261	-7.49E-06	-0.261	-1.04E-05	-0.261	-1.47E-05	-0.261	-2.08E-05	-0.261	-2.98E-05
-0.262	-3.83E-06	-0.262	-4.91E-06	-0.262	-7.45E-06	-0.262	-1.04E-05	-0.262	-1.47E-05	-0.262	-2.07E-05	-0.262	-2.96E-05
-0.263	-3.82E-06	-0.263	-4.88E-06	-0.263	-7.41E-06	-0.263	-1.03E-05	-0.263	-1.46E-05	-0.263	-2.06E-05	-0.263	-2.95E-05
-0.264	-3.80E-06	-0.264	-4.86E-06	-0.264	-7.37E-06	-0.264	-1.03E-05	-0.264	-1.45E-05	-0.264	-2.04E-05	-0.264	-2.93E-05
-0.265	-3.79E-06	-0.265	-4.84E-06	-0.265	-7.33E-06	-0.265	-1.02E-05	-0.265	-1.44E-05	-0.265	-2.03E-05	-0.265	-2.92E-05
-0.266	-3.78E-06	-0.266	-4.81E-06	-0.266	-7.29E-06	-0.266	-1.02E-05	-0.266	-1.43E-05	-0.266	-2.02E-05	-0.266	-2.90E-05
-0.267	-3.76E-06	-0.267	-4.79E-06	-0.267	-7.25E-06	-0.267	-1.01E-05	-0.267	-1.43E-05	-0.267	-2.01E-05	-0.267	-2.88E-05
-0.268	-3.75E-06	-0.268	-4.77E-06	-0.268	-7.21E-06	-0.268	-1.01E-05	-0.268	-1.42E-05	-0.268	-2.00E-05	-0.268	-2.86E-05
-0.269	-3.74E-06	-0.269	-4.74E-06	-0.269	-7.17E-06	-0.269	-9.99E-06	-0.269	-1.41E-05	-0.269	-1.99E-05	-0.269	-2.85E-05
-0.27	-3.73E-06	-0.27	-4.72E-06	-0.27	-7.13E-06	-0.27	-9.94E-06	-0.27	-1.40E-05	-0.27	-1.98E-05	-0.27	-2.83E-05
-0.271	-3.71E-06	-0.271	-4.70E-06	-0.271	-7.10E-06	-0.271	-9.88E-06	-0.271	-1.39E-05	-0.271	-1.97E-05	-0.271	-2.82E-05
-0.272	-3.70E-06	-0.272	-4.67E-06	-0.272	-7.06E-06	-0.272	-9.83E-06	-0.272	-1.39E-05	-0.272	-1.95E-05	-0.272	-2.80E-05
-0.273	-3.69E-06	-0.273	-4.65E-06	-0.273	-7.02E-06	-0.273	-9.77E-06	-0.273	-1.38E-05	-0.273	-1.94E-05	-0.273	-2.79E-05
-0.274	-3.68E-06	-0.274	-4.63E-06	-0.274	-6.99E-06	-0.274	-9.72E-06	-0.274	-1.37E-05	-0.274	-1.93E-05	-0.274	-2.77E-05
-0.275	-3.66E-06	-0.275	-4.61E-06	-0.275	-6.95E-06	-0.275	-9.67E-06	-0.275	-1.36E-05	-0.275	-1.92E-05	-0.275	-2.76E-05
-0.276	-3.65E-06	-0.276	-4.59E-06	-0.276	-6.91E-06	-0.276	-9.62E-06	-0.276	-1.36E-05	-0.276	-1.91E-05	-0.276	-2.74E-05
-0.277	-3.64E-06	-0.277	-4.57E-06	-0.277	-6.88E-06	-0.277	-9.57E-06	-0.277	-1.35E-05	-0.277	-1.90E-05	-0.277	-2.73E-05
-0.278	-3.63E-06	-0.278	-4.55E-06	-0.278	-6.84E-06	-0.278	-9.52E-06	-0.278	-1.34E-05	-0.278	-1.89E-05	-0.278	-2.71E-05
-0.279	-3.62E-06	-0.279	-4.52E-06	-0.279	-6.81E-06	-0.279	-9.47E-06	-0.279	-1.33E-05	-0.279	-1.88E-05	-0.279	-2.70E-05
-0.28	-3.61E-06	-0.28	-4.50E-06	-0.28	-6.77E-06	-0.28	-9.42E-06	-0.28	-1.33E-05	-0.28	-1.87E-05	-0.28	-2.68E-05
-0.281	-3.60E-06	-0.281	-4.48E-06	-0.281	-6.74E-06	-0.281	-9.37E-06	-0.281	-1.32E-05	-0.281	-1.86E-05	-0.281	-2.67E-05
-0.282	-3.59E-06	-0.282	-4.46E-06	-0.282	-6.71E-06	-0.282	-9.32E-06	-0.282	-1.31E-05	-0.282	-1.85E-05	-0.282	-2.65E-05
-0.283	-3.58E-06	-0.283	-4.44E-06	-0.283	-6.67E-06	-0.283	-9.27E-06	-0.283	-1.31E-05	-0.283	-1.84E-05	-0.283	-2.64E-05
-0.284	-3.57E-06	-0.284	-4.43E-06	-0.284	-6.64E-06	-0.284	-9.23E-06	-0.284	-1.30E-05	-0.284	-1.83E-05	-0.284	-2.63E-05
-0.285	-3.56E-06	-0.285	-4.41E-06	-0.285	-6.61E-06	-0.285	-9.18E-06	-0.285	-1.29E-05	-0.285	-1.82E-05	-0.285	-2.61E-05
-0.286	-3.55E-06	-0.286	-4.39E-06	-0.286	-6.58E-06	-0.286	-9.14E-06	-0.286	-1.29E-05	-0.286	-1.81E-05	-0.286	-2.60E-05
-0.287	-3.54E-06	-0.287	-4.37E-06	-0.287	-6.55E-06	-0.287	-9.09E-06	-0.287	-1.28E-05	-0.287	-1.80E-05	-0.287	-2.58E-05
-0.288	-3.53E-06	-0.288	-4.35E-06	-0.288	-6.51E-06	-0.288	-9.05E-06	-0.288	-1.28E-05	-0.288	-1.80E-05	-0.288	-2.57E-05
-0.289	-3.52E-06	-0.289	-4.33E-06	-0.289	-6.48E-06	-0.289	-9.00E-06	-0.289	-1.27E-05	-0.289	-1.79E-05	-0.289	-2.56E-05
-0.29	-3.51E-06	-0.29	-4.32E-06	-0.29	-6.45E-06	-0.29	-8.96E-06	-0.29	-1.26E-05	-0.29	-1.78E-05	-0.29	-2.55E-05
-0.291	-3.50E-06	-0.291	-4.30E-06	-0.291	-6.42E-06	-0.291	-8.91E-06	-0.291	-1.26E-05	-0.291	-1.77E-05	-0.291	-2.53E-05
-0.292	-3.49E-06	-0.292	-4.28E-06	-0.292	-6.39E-06	-0.292	-8.87E-06	-0.292	-1.25E-05	-0.292	-1.76E-05	-0.292	-2.52E-05
-0.293	-3.48E-06	-0.293	-4.26E-06	-0.293	-6.36E-06	-0.293	-8.83E-06	-0.293	-1.24E-05	-0.293	-1.75E-05	-0.293	-2.51E-05
-0.294	-3.48E-06	-0.294	-4.25E-06	-0.294	-6.34E-06	-0.294	-8.79E-06	-0.294	-1.24E-05	-0.294	-1.74E-05	-0.294	-2.50E-05
-0.295	-3.47E-06	-0.295	-4.23E-06	-0.295	-6.31E-06	-0.295	-8.75E-06	-0.295	-1.23E-05	-0.295	-1.74E-05	-0.295	-2.49E-05
-0.296	-3.46E-06	-0.296	-4.22E-06	-0.296	-6.28E-06	-0.296	-8.71E-06	-0.296	-1.23E-05	-0.296	-1.73E-05	-0.296	-2.47E-05
-0.297	-3.45E-06	-0.297	-4.20E-06	-0.297	-6.25E-06	-0.297	-8.67E-06	-0.297	-1.22E-05	-0.297	-1.72E-05	-0.297	-2.46E-05
-0.298	-3.44E-06	-0.298	-4.18E-06	-0.298	-6.23E-06	-0.298	-8.63E-06	-0.298	-1.22E-05	-0.298	-1.71E-05	-0.298	-2.45E-05
-0.299	-3.44E-06	-0.299	-4.17E-06	-0.299	-6.20E-06	-0.299	-8.59E-06	-0.299	-1.21E-05	-0.299	-1.70E-05	-0.299	-2.44E-05
-0.3	-3.43E-06	-0.3	-4.15E-06	-0.3	-6.17E-06	-0.3	-8.55E-06	-0.3	-1.21E-05	-0.3	-1.70E-05	-0.3	-2.43E-05
-0.301	-3.42E-06	-0.301	-4.14E-06	-0.301	-6.15E-06	-0.301	-8.52E-06	-0.301	-1.20E-05	-0.301	-1.69E-05	-0.301	-2.42E-05
-0.302	-3.42E-06	-0.302	-4.12E-06	-0.302	-6.12E-06	-0.302	-8.48E-06	-0.302	-1.19E-05	-0.302	-1.68E-05	-0.302	-2.41E-05
-0.303	-3.41E-06	-0.303	-4.11E-06	-0.303	-6.10E-06	-0.303	-8.44E-06	-0.303	-1.19E-05	-0.303	-1.67E-05	-0.303	-2.39E-05
-0.304	-3.40E-06	-0.304	-4.10E-06	-0.304	-6.07E-06	-0.304	-8.41E-06	-0.304	-1.18E-05	-0.304	-1.66E-05	-0.304	-2.38E-05
-0.305	-3.40E-06	-0.305	-4.08E-06	-0.305	-6.05E-06	-0.305	-8.37E-06	-0.305	-1.18E-05	-0.305	-1.66E-05	-0.305	-2.37E-05
-0.306	-3.39E-06	-0.306	-4.07E-06	-0.306	-6.02E-06	-0.306	-8.34E-06	-0.306	-1.17E-05	-0.306	-1.65E-05	-0.306	-2.36E-05
-0.307	-3.38E-06	-0.307	-4.06E-06	-0.307	-6.00E-06	-0.307	-8.30E-06	-0.307	-1.17E-05	-0.307	-1.64E-05	-0.307	-2.35E-05
-0.308	-3.38E-06	-0.308	-4.04E-06	-0.308	-5.98E-06	-0.308	-8.27E-06	-0.308	-1.17E-05	-0.308	-1.64E-05	-0.308	-2.34E-05
-0.309	-3.37E-06	-0.309	-4.03E-06	-0.309	-5.95E-06	-0.309	-8.23E-06	-0.309	-1.16E-05	-0.309	-1.63E-05	-0.309	-2.33E-05
-0.31	-3.37E-06	-0.31	-4.02E-06	-0.31	-5.93E-06	-0.31	-8.20E-06	-0.31	-1.16E-05	-0.31	-1.62E-05	-0.31	-2.32E-05
-0.311	-3.36E-06	-0.311	-4.00E-06	-0.311	-5.91E-06	-0.311	-8.17E-06	-0.311	-1.15E-05	-0.311	-1.62E-05	-0.311	-2.31E-05
-0.312	-3.35E-06	-0.312	-3.99E-06	-0.312	-5.88E-06	-0.312	-8.14E-06	-0.312	-1.15E-05	-0.312	-1.61E-05	-0.312	-2.30E-05
-0.313	-3.35E-06	-0.313	-3.98E-06	-0.313	-5.86E-06	-0.313	-8.10E-06	-0.313	-1.14E-05	-0.313	-1.60E-05	-0.313	-2.29E-05
-0.314	-3.34E-06	-0.314	-3.97E-06	-0.314	-5.84E-06	-0.314	-8.07E-06	-0.314	-1.14E-05	-0.314	-1.60E-05	-0.314	-2.28E-05
-0.315	-3.34E-06	-0.315	-3.96E-06	-0.315	-5.82E-06	-0.315	-8.04E-06	-0.315	-1.13E-05	-0.315	-1.59E-05	-0.315	-2.28E-05
-0.316	-3.33E-06	-0.316	-3.94E-06	-0.316	-5.80E-06	-0.316	-8.01E-06	-0.316	-1.13E-05	-0.316	-1.59E-05	-0.316	-2.27E-05
-0.317	-3.33E-06	-0.317	-3.93E-06	-0.317	-5.78E-06	-0.317	-7.98E-06	-0.317	-1.12E-05	-0.317	-1.58E-05	-0.317	-2.26E-05
-0.318	-3.32E-06	-0.318	-3.92E-06	-0.318	-5.76E-06	-0.318	-7.95E-06	-0.318	-1.12E-05	-0.318	-1.57E-05	-0.318	-2.25E-05
-0.319	-3.32E-06	-0.319	-3.91E-06	-0.319	-5.74E-06	-0.319	-7.92E-06	-0.319	-1.12E-05	-0.319	-1.57E-05	-0.319	-2.24E-05
-0.32	-3.32E-06	-0.32	-3.90E-06	-0.32	-5.72E-06	-0.32	-7.89E-06	-0.32	-1.11E-05	-0.32	-1.56E-05	-0.32	-2.23E-05
-0.321	-3.31E-06	-0.321	-3.89E-06	-0.321	-5.70E-06	-0.321	-7.87E-06	-0.321	-1.11E-05	-0.321	-1.56E-05	-0.321	-2.22E-05
-0.322	-3.31E-06	-0.322	-3.88E-06	-0.322	-5.68E-06	-0.322	-7.84E-06	-0.322	-1.10E-05	-0.322	-1.55E-05	-0.322	-2.21E-05
-0.323	-3.30E-06	-0.323	-3.87E-06	-0.323	-5.66E-06	-0.323	-7.81E-06	-0.323	-1.10E-05	-0.323	-1.54E-05	-0.323	-2.21E-05
-0.324	-3.30E-06	-0.324	-3.86E-06	-0.324	-5.64E-06	-0.324	-7.78E-06	-0.324	-1.10E-05	-0.324	-1.54E-05	-0.324	-2.20E-05
-0.325	-3.29E-06	-0.325	-3.85E-06	-0.325	-5.62E-06	-0.325	-7.76E-06	-0.325	-1.09E-05	-0.325	-1.53E-05	-0.325	-2.19E-05
-0.326	-3.29E-06	-0.326	-3.84E-06	-0.326	-5.61E-06	-0.326	-7.73E-06	-0.326	-1.09E-05	-0.326	-1.53E-05	-0.326	-2.18E-05
-0.327	-3.29E-06	-0.327	-3.83E-06	-0.327	-5.59E-06	-0.327	-7.70E-06	-0.327	-1.08E-05	-0.327	-1.52E-05	-0.327	-2.17E-05
-0.328	-3.28E-06	-0.328	-3.82E-06	-0.328	-5.57E-06	-0.328	-7.68E-06	-0.328	-1.08E-05	-0.328	-1.52E-05	-0.328	-2.16E-05
-0.329	-3.28E-06	-0.329	-3.81E-06	-0.329	-5.55E-06	-0.329	-7.65E-06	-0.329	-1.08E-05	-0.329	-1.51E-05	-0.329	-2.16E-05
-0.33	-3.28E-06	-0.33	-3.80E-06	-0.33	-5.54E-06	-0.33	-7.63E-06	-0.33	-1.07E-05	-0.33	-1.51E-05	-0.33	-2.15E-05
-0.331	-3.27E-06	-0.331	-3.79E-06	-0.331	-5.52E-06	-0.331	-7.60E-06	-0.331	-1.07E-05	-0.331	-1.50E-05	-0.331	-2.14E-05
-0.332	-3.27E-06	-0.332	-3.78E-06	-0.332	-5.51E-06	-0.332	-7.58E-06	-0.332	-1.07E-05	-0.332	-1.50E-05	-0.332	-2.14E-05
-0.333	-3.27E-06	-0.333	-3.77E-06	-0.333	-5.49E-06	-0.333	-7.55E-06	-0.333	-1.06E-05	-0.333	-1.49E-05	-0.333	-2.13E-05
-0.334	-3.26E-06	-0.334	-3.76E-06	-0.334	-5.47E-06	-0.334	-7.53E-06	-0.334	-1.06E-05	-0.334	-1.49E-05	-0.334	-2.12E-05
-0.335	-3.26E-06	-0.335	-3.76E-06	-0.335	-5.46E-06	-0.335	-7.51E-06	-0.335	-1.06E-05	-0.335	-1.48E-05	-0.335	-2.11E-05
-0.336	-3.26E-06	-0.336	-3.75E-06	-0.336	-5.44E-06	-0.336	-7.48E-06	-0.336	-1.05E-05	-0.336	-1.48E-05	-0.336	-2.11E-05
-0.337	-3.26E-06	-0.337	-3.74E-06	-0.337	-5.43E-06	-0.337	-7.46E-06	-0.337	-1.05E-05	-0.337	-1.47E-05	-0.337	-2.10E-05
-0.338	-3.25E-06	-0.338	-3.73E-06	-0.338	-5.41E-06	-0.338	-7.44E-06	-0.338	-1.05E-05	-0.338	-1.47E-05	-0.338	-2.09E-05
-0.339	-3.25E-06	-0.339	-3.72E-06	-0.339	-5.40E-06	-0.339	-7.42E-06	-0.339	-1.04E-05	-0.339	-1.46E-05	-0.339	-2.09E-05
-0.34	-3.25E-06	-0.34	-3.72E-06	-0.34	-5.38E-06	-0.34	-7.40E-06	-0.34	-1.04E-05	-0.34	-1.46E-05	-0.34	-2.08E-05
-0.341	-3.25E-06	-0.341	-3.71E-06	-0.341	-5.37E-06	-0.341	-7.37E-06	-0.341	-1.04E-05	-0.341	-1.45E-05	-0.341	-2.07E-05
-0.342	-3.24E-06	-0.342	-3.70E-06	-0.342	-5.35E-06	-0.342	-7.35E-06	-0.342	-1.03E-05	-0.342	-1.45E-05	-0.342	-2.07E-05
-0.343	-3.24E-06	-0.343	-3.69E-06	-0.343	-5.34E-06	-0.343	-7.33E-06	-0.343	-1.03E-05	-0.343	-1.44E-05	-0.343	-2.06E-05
-0.344	-3.24E-06	-0.344	-3.68E-06	-0.344	-5.33E-06	-0.344	-7.31E-06	-0.344	-1.03E-05	-0.344	-1.44E-05	-0.344	-2.05E-05
-0.345	-3.24E-06	-0.345	-3.68E-06	-0.345	-5.31E-06	-0.345	-7.29E-06	-0.345	-1.03E-05	-0.345	-1.44E-05	-0.345	-2.05E-05
-0.346	-3.24E-06	-0.346	-3.67E-06	-0.346	-5.30E-06	-0.346	-7.27E-06	-0.346	-1.02E-05	-0.346	-1.43E-05	-0.346	-2.04E-05
-0.347	-3.23E-06	-0.347	-3.66E-06	-0.347	-5.29E-06	-0.347	-7.25E-06	-0.347	-1.02E-05	-0.347	-1.43E-05	-0.347	-2.03E-05
-0.348	-3.23E-06	-0.348	-3.66E-06	-0.348	-5.27E-06	-0.348	-7.23E-06	-0.348	-1.02E-05	-0.348	-1.42E-05	-0.348	-2.03E-05
-0.349	-3.23E-06	-0.349	-3.65E-06	-0.349	-5.26E-06	-0.349	-7.21E-06	-0.349	-1.01E-05	-0.349	-1.42E-05	-0.349	-2.02E-05
-0.35	-3.23E-06	-0.35	-3.64E-06	-0.35	-5.25E-06	-0.35	-7.19E-06	-0.35	-1.01E-05	-0.35	-1.41E-05	-0.35	-2.02E-05
-0.351	-3.23E-06	-0.351	-3.64E-06	-0.351	-5.24E-06	-0.351	-7.18E-06	-0.351	-1.01E-05	-0.351	-1.41E-05	-0.351	-2.01E-05
-0.352	-3.23E-06	-0.352	-3.63E-06	-0.352	-5.22E-06	-0.352	-7.16E-06	-0.352	-1.01E-05	-0.352	-1.41E-05	-0.352	-2.01E-05
-0.353	-3.22E-06	-0.353	-3.62E-06	-0.353	-5.21E-06	-0.353	-7.14E-06	-0.353	-1.00E-05	-0.353	-1.40E-05	-0.353	-2.00E-05
-0.354	-3.22E-06	-0.354	-3.62E-06	-0.354	-5.20E-06	-0.354	-7.12E-06	-0.354	-1.00E-05	-0.354	-1.40E-05	-0.354	-1.99E-05
-0.355	-3.22E-06	-0.355	-3.61E-06	-0.355	-5.19E-06	-0.355	-7.10E-06	-0.355	-9.97E-06	-0.355	-1.39E-05	-0.355	-1.99E-05
-0.356	-3.22E-06	-0.356	-3.60E-06	-0.356	-5.18E-06	-0.356	-7.09E-06	-0.356	-9.95E-06	-0.356	-1.39E-05	-0.356	-1.98E-05
-0.357	-3.22E-06	-0.357	-3.60E-06	-0.357	-5.16E-06	-0.357	-7.07E-06	-0.357	-9.92E-06	-0.357	-1.39E-05	-0.357	-1.98E-05
